# folder	files_touched_by_work_that_only_reaches_a_front_door
code/f	2416
(top folder)	1753
uk_energy_tracking_v5	1277
uk_energy_tracking_v6	1253
.github/workflows	873
ventus-core-v2/node_modules/caniuse-lite/data/features	583
scripts	541
data_science_protocol/audit_reports	445
data_science_protocol/audit_reports/json	443
gridbot_reports	391
uk_energy_tracking_v6/generation_history	363
data/confirmed	315
modular	304
spider/graphs	256
ventus-core-v2/node_modules/@babel/helpers/lib/helpers	244
ventus-core-v2/node_modules/caniuse-lite/data/regions	240
blocks	222
spider	188
layers/modules	187
reports	187
33kv_uk_dap_price_estimator	187
uk_energy_tracking	172
reports/vedic	171
reports/chemistry	170
uk_energy_tracking_v3	161
tests	148
repd_grid_atlasv9/data	147
proof	128
scripts/__pycache__	124
data/electricity	116
lv_ac_dc_price_estimator	116
uk_energy_tracking_v4	103
uk_renewables_pipeline/202609080146/tests	102
repd_grid_atlasv9/scripts	102
dist	98
src/solar_topology	92
registry	88
reports/random	85
structure	78
species/genome-spider/data	76
code	73
uk_energy_tracking_v2	71
sense	68
codex/reload/plan-tracker	63
uk_energy_tracking_v6_2/generation_history	62
data/generation/fuelhh_halfhourly	58
library	56
docs/quantum-spawn	55
repd_grid_atlasv9/.github/workflows	54
ventus-core-v2/node_modules/@types/node	53
decisions	51
atman	49
uk_renewables_pipeline/202609080146/scripts/plugins	46
ventus-core-v2/node_modules/undici-types	46
ventus-core-v2/node_modules/.bin	45
tools/overnight	44
modular-star	39
uk_renewables_pipeline/202609080146/contracts	38
uk_renewables_pipeline/202609080146/data/v9.1/atlas	36
ventus-core-v2/node_modules/@babel/types/lib/validators	36
