# name	owner	public
faraday	Ventusltd	yes
law	Ventusltd	yes
grid	Ventusltd	yes
cosmic	Ventusltd	yes
stones	Ventusltd	yes
Kuiper-belt	Ventusltd	yes
unnamed-01		no
particle-physics-drawing-engine	Ventusltd	yes
unnamed-02		no
elements	Ventusltd	yes
galaxies-wafers	Ventusltd	yes
star-cable-derating-star	Ventusltd	yes
star-sector-star	Ventusltd	yes
star-solar-star	Ventusltd	yes
star-electron-star	Ventusltd	yes
star-seer-star	Ventusltd	yes
star-quantum-twin	Ventusltd	yes
grid-dictionary	Ventusltd	yes
code-generator	Ventusltd	yes
stars	Ventusltd	yes
star-maker	Ventusltd	yes
control-pad	Ventusltd	yes
gridmachine2	Ventusltd	yes
gridmachine1	Ventusltd	yes
unnamed-03		no
cable-trench-or-drill	Ventusltd	yes
unnamed-04		no
layout-tool	Ventusltd	yes
gpu-drivers-for-global-grid	Ventusltd	yes
linux-for-the-power-grid	Ventusltd	yes
teleprinter	Ventusltd	yes
testcode	Ventusltd	yes
ventusltd.com	Ventusltd	yes
studies	Ventusltd	yes
ventus-grid-engine	Ventusltd	yes
codex-chatgpt	Ventusltd	yes
claude	Ventusltd	yes
gemini	Ventusltd	yes
data-grid-gb	Ventusltd	yes
grid-distance-maths	Ventusltd	yes
chatgpt-audits	Ventusltd	yes
cvaa	Ventusltd	yes
architecture	Ventusltd	yes
data-gridatlas	Ventusltd	yes
gridatlas	Ventusltd	yes
companies	Ventusltd	yes
pipelinenews	Ventusltd	yes
uk-dno-data	Ventusltd	yes
v11	Ventusltd	yes
seed-data	Ventusltd	yes
data-centres-gb	Ventusltd	yes
solar-electrical-topology-analysis-engine-text-based	Ventusltd	yes
Mahabharata	Ventusltd	yes
reports	Ventusltd	yes
registry_of_all_content_in_repos_and_dependencies	Ventusltd	yes
data_uk_dno_and_tso	Ventusltd	yes
spiders	Ventusltd	yes
data-federation-map-for-globalgrid2050-all-repos	Ventusltd	yes
gb-electricity-ui	Ventusltd	yes
data-interconnectors	Ventusltd	yes
data-gb-electricity	Ventusltd	yes
globalgrid2050-homepage	Ventusltd	yes
globalgrid2050-hompage	Ventusltd	yes
youengineer-code-review	Ventusltd	yes
unnamed-05		no
unnamed-06		no
globalgrid2050	Ventusltd	yes
Solar-PV-Hybrid-and-off-grid	Ventusltd	yes
solar-repowering-whitepaper	Ventusltd	yes
pv-arc-protection-circuit	Ventusltd	yes
