# repository	head	head_unix	files	lines
132kV	99aa58ac996a	1790245835	12	633
cable-trench-or-drill	958449237b6f	1788660989	36	6545
chatgpt-audits	2ffb435d105d	1788776133	3268	497545
claude	df9da02425fd	1789292446	274	395805
code-generator	857ea8124484	1789390854	59	43200
codex-chatgpt	9bc0a5feaa81	1788399727	26	7669
companies	ac70a37408d4	1788216790	76	20868
control-pad	fd232f850723	1789343512	10	168
cosmic	450b2e1094ce	1789841376	81	29856
cvaa	48393ff23b46	1789430337	67	7799
data-centres-gb	f9f47286fae6	1788218742	33	5286
data-federation-map-for-globalgrid2050-all-repos	b759a7d2b5ec	1788218744	134	13308
data-gb-electricity	d310e3cec8cd	1788348664	29	5183
data-grid-gb	5181de3423e4	1788408177	27	322020
data-gridatlas	8bf88da9e210	1788403387	68	24140
data-interconnectors	1e00d0e4d7bf	1788218748	11	1401
data_uk_dno_and_tso	3d46dd63ce9b	1783239043	35	2115
elements	f7a92fb085c3	1789500723	25	129931
faraday	e439b450f37a	1790065863	68	10459
galaxies-wafers	fff6fc6ad4f9	1789511086	735	114965
gb-electricity-ui	5b4533914bb2	1788216786	15	925
gemini	16122ae08d45	1788395903	10	872
globalgrid2050	bec0c7e7ef4b	1790064359	18453	35855071
globalgrid2050-homepage	13055b1906e4	1788579291	22	2344
globalgrid2050-hompage	e0c3de9b4768	1788561217	19	2060
gpu-drivers-for-global-grid	71c44dcdc9a6	1789949167	56	6594
grid	fb48dbb8f2bc	1789841363	7	1284
grid-dictionary	0c93001feb21	1789399080	10	4509
grid-distance-maths	8e91b07d8312	1789951268	14	2425
gridatlas	f2d3bfb2d241	1789864496	887	1224553
gridmachine1	c6cbf9686eea	1788823300	50	4371
gridmachine2	243091b58763	1788820121	157	121801
kuiper-belt	85a4f6803c42	1790225983	169	59927
law	53c6c3218e7c	1789855923	6	2292
layout-tool	9f434e260de2	1788638300	40	8904
linux-for-the-power-grid	b984303b3d9e	1788622220	17	9298
Mahabharata	b9b70d8656b8	1783460284	8	362
pandapower	109416d25abb	1777116440	1145	943979
particle-physics-drawing-engine	ce612fca48f8	1790226028	1145	23313
pipelinenews	4980096b57cb	1789316236	3698	2556781
pv-arc-protection-circuit	8c74069d1927	1762776988	3	918
registry_of_all_content_in_repos_and_dependencies	4088117acd2c	1788778244	48	768543
reports	7648f57c5a50	1783347188	21	1594
seed-data	016f2a101ca5	1788563537	21	8021
site-energy	271e22c2748f	1789867721	4	2351
sld	1b9d269f9050	1789841366	2	208
solar-dc-string-wiring-and-topology	7193e57632c7	1789901176	2	203
solar-electrical-topology-analysis-engine-text-based	d3b4c497144c	1785681994	374	59286
solar-repowering-whitepaper	be02c9bbaa83	1755443136	2	514
spiders	c32c85665a4b	1789994830	194	205518
star-electron-star	2b4253ef5079	1789605465	41	3431
star-maker	f65c2f381d91	1789369208	4412	560791
star-quantum-twin	5eb2cab5d7a9	1789436425	57	25689
star-sector-star	54d5b07cb1d8	1789437076	18	81251
star-solar-star	1c544e7fd549	1790236092	61	67293
stars	13a6379fa1a9	1790244872	307	419985
stones	45b6b3eed03d	1789923901	14	940
teleprinter	7c54ba808f64	1788640182	107	39007
testcode	26c31ba4e9fb	1789501308	7654	4116464
time-stone	30914afda9aa	1790244785	8	761
tokens	1abe639df81e	1789841372	7	435
trillion-loop	35fdea2f2744	1790001873	8	2385
v11	debb30e092a1	1785702551	22	4250
ventus-grid-engine	712d0064e4bb	1790243622	112	17797
ventusltd.com	f64dbf2f1d1f	1788568276	2	138
worlds-	b5f15716486c	1790006398	665	412149
youengineer-code-review	f86dcb229b40	1783732642	42	4615
