Kuiper-belt	27387	425	34
Kuiper_belt	1415	249	13
Mahabharata	362	0	11
Solar-PV-Hybrid-and-off-grid	2	0	1
_board	11925	138	20
architecture	2	0	1
cable-trench-or-drill	9107	2	7
cable_selection	2	0	1
chatgpt-audits	706166	2570	120
claude	458713	60165	269
code-generator	45787	2587	12
codex-chatgpt	7675	6	5
companies	23246	540	80
control-pad	168	0	4
crm	702	0	4
cvaa	9215	1221	60
data-centres-gb	13842	374	16
data-federation-map-for-globalgrid2050-all-repos	17475	3441	228
data-gb-electricity	7074	2311	75
data-grid-gb	331731	9480	12
data-gridatlas	24708	27	24
data-interconnectors	1578	177	22
data_uk_dno_and_tso	2123	8	40
elements	141583	11652	7
galaxies-wafers	118950	924	168
gb-electricity-ui	962	37	19
gemini	874	2	2
gis-sld-sandbox	18398	21	12
globalgrid2050	44560919	10696281	5040
globalgrid2050-homepage	3222	876	62
globalgrid2050-hompage	3019	959	60
gpu-drivers-for-global-grid	4011	98	18
grid-dictionary	4513	4	3
grid-distance-maths	2188	28	6
gridatlas	1384917	17344	568
gridmachine1	6592	2221	83
gridmachine2	121817	16	10
layout-tool	8906	2	5
linux-for-the-power-grid	9298	0	4
particle-physics-drawing-engine	9312	343	73
pipelinenews	2795047	28591	529
pipelinenews-gridatlas-20260906	649	7	5
pv-arc-protection-circuit	1321	403	88
registry_of_all_content_in_repos_and_dependencies	772015	3472	46
reports	1666	72	25
seed-data	8902	881	28
solar-electrical-topology-analysis-engine-text-based	91008	18911	840
solar-repowering-whitepaper	518	4	8
spiders	288871	83679	171
star-cable-derating-star	4	0	1
star-electron-star	3578	147	11
star-maker	761964	201173	81
star-quantum-twin	25802	113	4
star-sector-star	81253	2	2
star-seer-star	2	0	1
star-solar-star	72038	3284	23
stars	455901	68307	198
stones	517	21	5
studies	2	0	1
teleprinter	39951	944	63
testcode	4271922	24852	252
uk-dno-data	2	0	1
v11	16965	2443	123
ventus-grid-engine	24948	891	85
ventusltd.com	138	0	1
youengineer-code-review	5798	1183	96
